,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Hastings,GB,62.01,overcast clouds,50.86,0.57,Zanzibar Hotel
387,Bambous Virieux,MU,71.6,broken clouds,-20.34,57.76,Casa Tia Villa
388,Jardim,BR,60.96,overcast clouds,-21.48,-56.14,Hotel Estância
389,Stuttgart,DE,69.01,broken clouds,48.78,9.18,Hotel Motel One Stuttgart-Mitte
391,Nishihara,JP,82.4,broken clouds,26.18,127.76,Minshuku Agaihama
392,Yumen,CN,68.76,broken clouds,40.28,97.2,
393,Luderitz,,60.8,scattered clouds,-26.65,15.16,LÜDERITZ NEST HOTEL
394,Pokrovskoye,RU,75.0,overcast clouds,47.42,38.9,
399,San Jeronimo,PE,62.64,clear sky,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
400,Mogadishu,SO,78.64,overcast clouds,2.04,45.34,Hotel Juba
401,Noumea,NC,66.99,overcast clouds,-22.28,166.46,Hôtel Le Lagon
402,Shahreza,IR,74.17,broken clouds,32.03,51.88,خوابگاه
403,Beloha,MG,64.69,clear sky,-25.17,45.05,
406,Vila,PT,73.99,clear sky,42.03,-8.16,Hotel Castrum Villae
409,Lichinga,MZ,64.4,broken clouds,-13.31,35.24,Residencial Bendiak
410,Tibiao,PH,81.39,overcast clouds,11.29,122.04,Kasa Raya Inn
411,Ankazoabo,MG,61.12,clear sky,-22.28,44.52,
412,Poum,NC,69.49,few clouds,-20.23,164.02,Gîte kajeon
415,Gorontalo,ID,75.27,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
416,San Gabriel,US,88.0,clear sky,34.1,-118.11,Hilton Los Angeles/San Gabriel
418,Kaspiysk,RU,84.0,broken clouds,42.88,47.64,Alima Hostel
419,Linjiang,CN,55.38,clear sky,41.81,126.91,Mingmen Business Hotel
422,Salalah,OM,82.4,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
424,Malakal,SS,74.61,overcast clouds,9.53,31.66,Nile Palace Hotel
427,Anadyr,RU,64.4,clear sky,64.75,177.48,"Гостиница ""Анадырь"""
430,Hohhot,CN,62.6,scattered clouds,40.81,111.65,Sheraton Hohhot Hotel
431,Newport,GB,62.01,overcast clouds,51.59,-3.0,ibis budget Newport
434,Labuhan,ID,75.45,scattered clouds,-6.88,112.21,bador sepret
435,De-Kastri,RU,56.59,overcast clouds,51.47,140.78,Somon Hotel
439,Lieksa,FI,56.03,clear sky,63.32,30.02,Kaatrahovi
442,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
443,Kasulu,TZ,71.6,clear sky,-4.58,30.1,Capital Lodge
445,Matara,LK,79.7,overcast clouds,5.95,80.54,Amaloh Boutique Resort
446,Constantine,DZ,73.4,clear sky,36.37,6.61,Grand Hotel Cirta
447,Jiangyou,CN,74.57,overcast clouds,31.77,104.72,Shangping Shuyuan Inn
448,Namatanai,PG,79.61,broken clouds,-3.67,152.43,Namatanai Hotel
449,Grand Gaube,MU,68.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
450,Kabompo,ZM,56.75,clear sky,-13.59,24.2,Faroja City Iyindeko Cas-jay
452,Conde,BR,78.8,clear sky,-7.26,-34.91,Pousada Beija Flor
453,Katav-Ivanovsk,RU,63.46,clear sky,54.75,58.2,Guest House U Zigalgi
454,Kamiiso,JP,64.74,scattered clouds,41.82,140.65,ビジネス民宿あべ
455,Pasir Gudang,MY,78.8,light rain,1.46,103.88,Swan Garden Hotel
456,Hambantota,LK,78.8,overcast clouds,6.12,81.12,Bungalow 63
458,Miraflores,MX,73.0,moderate rain,19.22,-98.81,Hotel Mansión
459,Tomaszow Mazowiecki,PL,55.99,overcast clouds,51.53,20.01,Hotel Mazowiecki
464,Jacareacanga,BR,85.77,scattered clouds,-6.22,-57.75,Casa do Ian😎
465,Jalu,LY,79.38,clear sky,29.03,21.55,Jalu Hotel
466,Fortuna,US,63.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
468,Sechura,PE,73.51,few clouds,-5.56,-80.82,Hospedaje Costa Bella
469,Chipinge,ZW,55.15,broken clouds,-20.19,32.62,Mutare Club
471,Gambo,CF,71.26,overcast clouds,4.65,22.26,
472,Soyo,AO,73.9,clear sky,-6.13,12.37,Hotel Mpampa
473,Trincomalee,LK,80.28,overcast clouds,8.57,81.23,Welcombe Hotel
475,Kimbe,PG,75.24,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
476,Sur,OM,86.11,overcast clouds,22.57,59.53,Sur Plaza Hotel
478,Itoman,JP,82.4,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
479,Makhachkala,RU,84.0,broken clouds,42.98,47.5,Argo
480,Madang,PG,76.46,overcast clouds,-5.22,145.8,Comfort Inn Hotel
481,Cabra,ES,87.8,clear sky,37.47,-4.44,MS Fuente Las Piedras
482,Ca Mau,VN,77.32,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
483,Barra,BR,79.36,clear sky,-11.09,-43.14,Pousada Bahia
486,Ibirapitanga,BR,68.83,clear sky,-14.16,-39.37,Pousada Brasil
487,Antsohihy,MG,76.41,clear sky,-14.88,47.99,Hotel de Ville
489,Marsa Matruh,EG,75.2,scattered clouds,31.35,27.25,Beau Site
490,Mocuba,MZ,62.96,clear sky,-16.84,36.99,Phama Lodge
491,Honiara,SB,75.2,broken clouds,-9.43,159.95,Heritage Park Hotel
493,Portland,US,72.0,broken clouds,45.52,-122.68,Portland Marriott City Center
494,Yeppoon,AU,59.0,broken clouds,-23.13,150.73,Villa Mar Colina
496,Port Hardy,CA,59.0,overcast clouds,50.7,-127.42,Airport Inn
497,Cap Malheureux,MU,68.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
498,Kamaishi,JP,69.64,overcast clouds,39.27,141.88,Hotel Route Inn Kamaishi
499,Zeya,RU,60.85,few clouds,53.75,127.27,Kapital Inn
500,Boende,CD,78.24,scattered clouds,-0.22,20.87,
502,Gouyave,GD,86.0,few clouds,12.16,-61.73,Rumboat Retreat
503,Mamontovo,RU,59.85,scattered clouds,52.71,81.62,Hostel Postoyaliy Dvor
507,Hailar,CN,66.67,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
513,Wawa,NG,78.15,broken clouds,9.9,4.42,
515,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
516,Pitimbu,BR,78.8,clear sky,-7.47,-34.81,Reserva do Abiaí
517,Superior,US,86.0,scattered clouds,46.72,-92.1,Holiday Inn Express & Suites Superior - Duluth Area
518,Ngerengere,TZ,75.2,broken clouds,-6.75,38.12,
521,Pilar,BR,77.0,few clouds,-9.6,-35.96,Pousada Manguaba
522,Ketchikan,US,60.8,overcast clouds,55.34,-131.65,Snows Cove Lodge
523,El Alto,PE,75.2,broken clouds,-4.27,-81.21,Black Marlin Lodge & Restaurant
524,Nemuro,JP,59.61,clear sky,43.32,145.57,Hotel Nemuro Kaiyoutei
527,Sinazongwe,ZM,66.87,clear sky,-17.26,27.46,Lakeview Lodge
528,Khuzhir,RU,55.02,overcast clouds,53.19,107.34,Отель на озере Байкал Baikal View
531,Coutances,FR,60.01,scattered clouds,49.05,-1.43,Hotel La Pocatiere
532,Pundaguitan,PH,82.99,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
533,Awjilah,LY,78.04,clear sky,29.11,21.29,
535,Zyryanka,RU,55.29,overcast clouds,65.75,150.85,Zyryanka
538,Matehuala,MX,87.22,clear sky,23.65,-100.65,Las Palmas Midway Inn
